4199.0, 2.43036, 148.0, 31.0, 54.0, 457.0, 16.0, 25.0
4797.0, 2.81785, 122.0, 13.0, 30.0, 441.0, 16.0, 21.0
3781.0, 2.20717, 108.0, 14.0, 17.0, 549.0, 24.0, 33.0
7325.0, 5.32527, 184.0, 13.0, 7.0, 415.0, 12.0, 27.0
3800.0, 2.7626, 145.0, 0.0, 0.0, 323.0, 9.0, 9.0
1314.0, 0.95527, 66.0, 0.0, 0.0, 261.0, 5.0, 5.0
20575.0, 15.01832, 364.0, 60.0, 61.0, 464.0, 11.0, 15.0
27306.0, 19.85146, 329.0, 62.0, 123.0, 391.0, 12.0, 15.0
11298.0, 8.25662, 250.0, 21.0, 16.0, 273.0, 2.0, 2.0
4716.0, 3.0185, 144.0, 9.0, 21.0, 545.0, 15.0, 17.0
3545.0, 2.46816, 107.0, 13.0, 16.0, 375.0, 17.0, 18.0
1044.0, 0.75898, 62.0, 0.0, 0.0, 162.0, 10.0, 17.0
8828.0, 6.41795, 266.0, 6.0, 4.0, 386.0, 15.0, 19.0
4910.0, 2.91454, 156.0, 22.0, 27.0, 457.0, 14.0, 18.0
